ID,GUM,ALG,PVA,CMC,MassLoading,Kale afw (g/cm2),Kale stdev,Mustard afw (g/cm2),Mustard stdev,Amaranth afw (g/cm2),Amaranth stdev,Round
MGAL_0401,0.0,0.9677,0.0,0.0322,15.0,1.1379,0.17931034482758618,1.2903,0.038709677419354833,1.1667,0.09999999999999999,1.0
MGAL_0402,0.2281,0.039,0.7328,0.0,15.0,1.069,0.1413793103448276,1.0,0.019354838709677417,0.6667,0.03333333333333333,1.0
MGAL_0403,0.3698,0.6138,0.0,0.0164,15.0,1.2414,0.1586206896551724,1.3871,0.05483870967741935,1.25,0.041666666666666664,1.0
MGAL_0404,0.5812,0.1482,0.1256,0.145,15.0,1.3793,0.15517241379310343,1.3226,0.07419354838709677,1.1667,0.13333333333333333,1.0
MGAL_0405,0.9105,0.0889,0.0,0.0006,15.0,1.4138,0.17586206896551723,1.2258,0.08709677419354839,0.8333,0.14166666666666666,1.0
MGAL_0406,0.6367,0.3476,0.0007,0.015,20.0,1.3103,0.296551724137931,1.3871,0.15806451612903225,1.4167,0.09166666666666667,1.0
MGAL_0407,0.6989,0.0004,0.0007,0.3,20.0,1.0345,0.1896551724137931,1.1935,0.12580645161290321,1.25,0.024999999999999998,1.0
MGAL_0501,0.0854,0.6831,0.1252,0.1064,15.0,1.3103,0.23103448275862068,1.3871,0.2064516129032258,1.0833,0.058333333333333334,2.0
MGAL_0502,0.3597,0.0005,0.4623,0.1775,15.0,1.6552,0.12068965517241378,1.3548,0.14838709677419354,1.4167,0.09999999999999999,2.0
MGAL_0503,0.4057,0.3716,0.0002,0.2225,15.0,1.4828,0.1103448275862069,1.2258,0.09999999999999999,1.0833,0.03333333333333333,2.0
MGAL_0504,0.2283,0.5733,0.0,0.1984,20.0,1.4138,0.1586206896551724,1.4839,0.16129032258064516,1.1667,0.03333333333333333,2.0
MGAL_0505,0.2359,0.2458,0.5182,0.0,20.0,1.3793,0.17241379310344826,1.3226,0.15483870967741933,1.0,0.024999999999999998,2.0
MGAL_0506,0.4296,0.055,0.2237,0.2917,20.0,1.4483,0.05517241379310345,1.1935,0.2096774193548387,1.25,0.09166666666666667,2.0
MGAL_0507,0.6229,0.0,0.377,0.0,20.0,1.7241,0.12413793103448274,1.4194,0.12580645161290321,1.3333,0.23333333333333334,2.0
GUM,1.0,0.0,0.0,0.0,20.0,1.0,0.31034482758620685,1.0,0.16451612903225807,1.0,0.09166666666666667,2.0
MGAL_0601,0.1988,0.2173,0.4763,0.1075,15.0,0.9897,0.09999999999999999,1.0161,0.04516129032258064,0.9667,0.016666666666666666,3.0
MGAL_0602,0.2627,0.4058,0.2929,0.0386,15.0,0.5586,0.04827586206896552,0.8742,0.1064516129032258,0.8167,0.06666666666666667,4.0
MGAL_0603,0.284,0.1925,0.2236,0.3,15.0,0.6172,0.05517241379310345,0.7581,0.04193548387096774,0.3667,0.23333333333333334,3.0
MGAL_0604,0.4698,0.0004,0.2496,0.2802,15.0,0.5448,0.006896551724137931,1.7581,0.038709677419354833,0.35,0.075,4.0
MGAL_0605,0.4809,0.162,0.3548,0.0022,15.0,0.6483,0.1689655172413793,1.371,0.15483870967741933,0.7333,0.041666666666666664,3.0
MGAL_0606,0.5216,0.3708,0.1076,0.0,15.0,0.6931,0.15172413793103448,1.2097,0.24193548387096772,0.65,0.041666666666666664,4.0
MGAL_0607,0.76,0.0008,0.2392,0.0,15.0,1.0724,0.17241379310344826,1.0774,0.17096774193548386,0.9583,0.2916666666666667,3.0
MGAL_0608,0.0,0.7623,0.0,0.2377,20.0,1.6103,0.6620689655172413,2.3774,0.04838709677419355,1.45,0.3333333333333333,4.0
MGAL_0609,0.1197,0.5816,0.2987,0.0001,20.0,1.1276,0.13103448275862067,1.1806,0.07096774193548387,1.0417,0.06666666666666667,3.0
MGAL_0610,0.1298,0.3123,0.2681,0.2898,20.0,1.1483,0.16206896551724137,0.9226,0.14193548387096774,0.875,0.20833333333333334,4.0
MGAL_0611,0.1676,0.8321,0.0001,0.0001,20.0,0.8172,0.05172413793103448,0.9871,0.03225806451612903,0.9333,0.024999999999999998,3.0
MGAL_0612,0.1864,0.0504,0.4633,0.2998,20.0,1.0931,0.058620689655172406,1.2484,0.03225806451612903,1.1,0.075,4.0
MGAL_0614,0.4051,0.4976,0.097,0.0003,20.0,0.7069,0.12413793103448274,1.029,0.0032258064516129032,0.8667,0.024999999999999998,4.0
MGAL_0615,0.4467,0.2608,0.2611,0.0313,20.0,0.8103,0.044827586206896544,1.0677,0.0032258064516129032,0.8583,0.041666666666666664,3.0
MGAL_0616,0.7451,0.0954,0.1147,0.0449,20.0,0.7276,0.16551724137931031,0.9548,0.04516129032258064,0.7583,0.058333333333333334,4.0
