时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	高度(m)	气压(kPa)	版本号()	电量(%)
2026-3-24 13:34:42.90	WT901BLE68(2D9DAA075046)	-0.605	-0.122	0.824	-0.244	14.465	-0.366	-8.06	32.88	-37.81	12.300	26.640	-32.480	0.91205	0.02728	0.28589	-0.29254	24.9	null	null	13113	100
2026-3-24 13:34:42.271	WT901BLE68(2D9DAA075046)	-0.647	-0.123	0.792	-0.244	14.893	-0.366	-8.48	35.79	-37.21	12.300	26.640	-32.480	0.90103	0.03406	0.33557	-0.27255	24.9	null	null	13113	100
2026-3-24 13:34:42.391	WT901BLE68(2D9DAA075046)	-0.687	-0.126	0.759	-0.244	14.832	-0.366	-8.96	38.70	-36.78	12.300	26.640	-32.480	0.90103	0.03406	0.33557	-0.27255	24.9	null	null	13113	100
2026-3-24 13:34:42.570	WT901BLE68(2D9DAA075046)	-0.700	-0.128	0.724	-0.183	14.587	-0.366	-9.51	41.63	-36.45	12.300	26.640	-32.480	0.90103	0.03406	0.33557	-0.27255	24.9	null	null	13113	100
2026-3-24 13:34:42.690	WT901BLE68(2D9DAA075046)	-0.721	-0.128	0.706	-0.183	15.381	-0.427	-9.82	43.11	-36.38	12.300	26.640	-32.480	0.90103	0.03406	0.33557	-0.27255	24.9	null	null	13113	100
2026-3-24 13:34:42.901	WT901BLE68(2D9DAA075046)	-0.758	-0.131	0.689	-0.183	14.526	-0.366	-10.14	44.56	-36.29	28.947	31.467	-39.647	0.90103	0.03406	0.33557	-0.27255	24.9	null	null	13113	100
2026-3-24 13:34:43.83	WT901BLE68(2D9DAA075046)	-0.793	-0.132	0.649	-0.183	14.771	-0.366	-10.87	47.49	-36.29	28.947	31.467	-39.647	0.86868	0.04495	0.43048	-0.24075	24.9	null	null	13113	100
2026-3-24 13:34:43.205	WT901BLE68(2D9DAA075046)	-0.825	-0.134	0.610	-0.183	15.503	-0.427	-11.69	50.39	-36.48	28.947	31.467	-39.647	0.86868	0.04495	0.43048	-0.24075	24.9	null	null	13113	100
2026-3-24 13:34:43.383	WT901BLE68(2D9DAA075046)	-0.837	-0.136	0.565	-0.183	15.015	-0.427	-12.67	53.30	-36.71	28.947	31.467	-39.647	0.86868	0.04495	0.43048	-0.24075	24.9	null	null	13113	100
2026-3-24 13:34:43.501	WT901BLE68(2D9DAA075046)	-0.849	-0.137	0.539	-0.122	15.564	-0.366	-13.23	54.76	-36.81	28.947	31.467	-39.647	0.86868	0.04495	0.43048	-0.24075	24.9	null	null	13113	100
