GUM,ALG,PVA,CMC,MassLoading,grade,water_retention,stress_at_25 (kPa)
0.0,0.0,0.0,1.0,10,C,0.0,
0.0,0.0,0.0,1.0,15,C,0.0,
0.0,0.0,0.0,1.0,20,C,0.0,
0.0,0.0,0.2,0.8,10,C,0.0,
0.0,0.0,0.2,0.8,15,C,0.0,0.98
0.0,0.0,0.2,0.8,20,C,0.31,0.42
0.0,0.0,0.4,0.6,10,C,0.0,
0.0,0.0,0.4,0.6,15,C,0.0,1.34
0.0,0.0,0.4,0.6,20,C,0.29,0.95
0.0,0.0,0.6,0.4,10,B,0.0,1.17
0.0,0.0,0.6,0.4,15,B,0.05,2.52
0.0,0.0,0.6,0.4,20,B,0.22,2.51
0.0,0.0,0.8,0.2,10,B,0.02,2.93
0.0,0.0,0.8,0.2,15,B,0.07,1.97
0.0,0.0,0.8,0.2,20,B,0.22,2.99
0.0,0.0,1.0,0.0,10,B,0.03,5.55
0.0,0.0,1.0,0.0,15,B,0.07,1.7
0.0,0.0,1.0,0.0,20,C,0.3,1.48
0.0,0.2,0.0,0.8,10,C,0.0,
0.0,0.2,0.0,0.8,15,C,0.0,
0.0,0.2,0.0,0.8,20,C,0.0,
0.0,0.2,0.2,0.6,10,C,0.0,
0.0,0.2,0.2,0.6,15,C,0.0,0.66
0.0,0.2,0.2,0.6,20,C,0.11,1.0
0.0,0.2,0.4,0.4,10,B,0.0,
0.0,0.2,0.4,0.4,15,B,0.0,1.01
0.0,0.2,0.4,0.4,20,B,0.2,1.92
0.0,0.2,0.6,0.2,10,B,0.0,
0.0,0.2,0.6,0.2,15,B,0.07,1.37
0.0,0.2,0.6,0.2,20,B,0.18,0.45
0.0,0.2,0.8,0.0,10,B,0.02,2.52
0.0,0.2,0.8,0.0,15,B,0.0,2.26
0.0,0.2,0.8,0.0,20,B,0.24,1.18
0.0,0.4,0.0,0.6,10,C,0.0,
0.0,0.4,0.0,0.6,15,C,0.0,0.88
0.0,0.4,0.0,0.6,20,C,0.0,2.85
0.0,0.4,0.2,0.4,10,B,0.0,
0.0,0.4,0.2,0.4,15,B,0.2,1.58
0.0,0.4,0.2,0.4,20,B,0.47,1.6
0.0,0.4,0.4,0.2,10,B,0.52,
0.0,0.4,0.4,0.2,15,B,0.13,1.53
