ID,GUM,ALG,PVA,CMC,MassLoading,Mustard afw (mg/cm2),Mustard stdev
MGAL_0401,0.0,0.9677,0.0,0.0322,15.0,40.0,1.2
MGAL_0402,0.2281,0.039,0.7328,0.0,15.0,31.0,0.6
MGAL_0403,0.3698,0.6138,0.0,0.0164,15.0,43.0,1.7
MGAL_0404,0.5812,0.1482,0.1256,0.145,15.0,41.0,2.3
MGAL_0405,0.9105,0.0889,0.0,0.0006,15.0,38.0,2.7
MGAL_0406,0.6367,0.3476,0.0007,0.015,20.0,43.0,4.9
MGAL_0407,0.6989,0.0004,0.0007,0.3,20.0,37.0,3.9
MGAL_0501,0.0854,0.6831,0.1252,0.1064,15.0,43.0,6.4
MGAL_0502,0.3597,0.0005,0.4623,0.1775,15.0,42.0,4.6
MGAL_0503,0.4057,0.3716,0.0002,0.2225,15.0,38.0,3.1
MGAL_0504,0.2283,0.5733,0.0,0.1984,20.0,46.0,5.0
MGAL_0505,0.2359,0.2458,0.5182,0.0,20.0,41.0,4.8
MGAL_0506,0.4296,0.055,0.2237,0.2917,20.0,37.0,6.5
MGAL_0507,0.6229,0.0,0.377,0.0,20.0,44.0,3.9
GUM,1.0,0.0,0.0,0.0,20.0,31.0,5.1
MGAL_0601,0.1988,0.2173,0.4763,0.1075,15.0,31.5,1.4
MGAL_0602,0.2627,0.4058,0.2929,0.0386,15.0,27.1,3.3
MGAL_0603,0.284,0.1925,0.2236,0.3,15.0,23.5,1.3
MGAL_0604,0.4698,0.0004,0.2496,0.2802,15.0,54.5,1.2
MGAL_0605,0.4809,0.162,0.3548,0.0022,15.0,42.5,4.8
MGAL_0606,0.5216,0.3708,0.1076,0.0,15.0,37.5,7.5
MGAL_0607,0.76,0.0008,0.2392,0.0,15.0,33.4,5.3
MGAL_0608,0.0,0.7623,0.0,0.2377,20.0,73.7,1.5
MGAL_0609,0.1197,0.5816,0.2987,0.0001,20.0,36.6,2.2
MGAL_0610,0.1298,0.3123,0.2681,0.2898,20.0,28.6,4.4
MGAL_0611,0.1676,0.8321,0.0001,0.0001,20.0,30.6,1.0
MGAL_0612,0.1864,0.0504,0.4633,0.2998,20.0,38.7,1.0
MGAL_0614,0.4051,0.4976,0.097,0.0003,20.0,31.9,0.1
MGAL_0615,0.4467,0.2608,0.2611,0.0313,20.0,33.1,0.1
MGAL_0616,0.7451,0.0954,0.1147,0.0449,20.0,29.6,1.4
