publisher,journal,doi
ACS,ACS Agricultural Science & Technology,https://doi.org/10.1021/acsagscitech.2c00213
ACS,ACS Agricultural Science & Technology,https://doi.org/10.1021/acsagscitech.2c00185
ACS,ACS Agricultural Science & Technology,https://doi.org/10.1021/acsagscitech.4c00226
ACS,ACS Agricultural Science & Technology,https://doi.org/10.1021/acsagscitech.2c00215
ACS,ACS Agricultural Science & Technology,https://doi.org/10.1021/acsagscitech.2c00187
ACS,ACS Applied Bio Materials,https://doi.org/10.1021/acsabm.4c00416
ACS,ACS Applied Materials & Interfaces,https://doi.org/10.1021/acsami.6c03612
ACS,ACS Applied Polymer Materials,https://doi.org/10.1021/acsapm.4c02498
ACS,ACS Applied Polymer Materials,https://doi.org/10.1021/acsapm.4c00241
ACS,ACS Applied Polymer Materials,https://doi.org/10.1021/acsapm.3c00109
ACS,ACS Applied Polymer Materials,https://doi.org/10.1021/acsapm.5c01261
ACS,ACS Materials Letters,https://doi.org/10.1021/acsmaterialslett.5c01599
ACS,ACS Materials Letters,https://doi.org/10.1021/acsmaterialslett.6c00100
ACS,ACS Omega,https://doi.org/10.1021/acsomega.4c09928
ACS,ACS Omega,https://doi.org/10.1021/acsomega.5c09496
ACS,ACS Omega,https://doi.org/10.1021/acsomega.3c05868
ACS,ACS Omega,https://doi.org/10.1021/acsomega.8b00079
ACS,ACS Omega,https://doi.org/10.1021/acsomega.1c03271
ACS,ACS Sustainable Chemistry & Engineering,https://doi.org/10.1021/acssuschemeng.5c08222
ACS,ACS Sustainable Chemistry & Engineering,https://doi.org/10.1021/acssuschemeng.5c02351
ACS,ACS Sustainable Chemistry & Engineering,https://doi.org/10.1021/acssuschemeng.4c01003
ACS,Biomacromolecules,https://doi.org/10.1021/acs.biomac.5c02444
ACS,Journal of Agricultural and Food Chemistry,https://doi.org/10.1021/acs.jafc.9b03484
ACS,Journal of Agricultural and Food Chemistry,https://doi.org/10.1021/acs.jafc.5c09015
ACS,Langmuir,https://doi.org/10.1021/acs.langmuir.3c02256
ACS,Langmuir,https://doi.org/10.1021/acs.langmuir.5c04647
Elsevier,Agriculture and Agricultural Science Procedia,https://doi.org/10.1016/j.aaspro.2015.03.052
Elsevier,Biomass and Bioenergy,https://doi.org/10.1016/j.biombioe.2026.109564
Elsevier,Biotechnology Reports,https://doi.org/10.1016/j.btre.2020.e00463
Elsevier,Carbohydrate Polymer Technologies and Applications,https://doi.org/10.1016/j.carpta.2026.101111
Elsevier,Carbohydrate Polymer Technologies and Applications,https://doi.org/10.1016/j.carpta.2026.101178
Elsevier,Case Studies in Chemical and Environmental Engineering,https://doi.org/10.1016/j.cscee.2025.101253
Elsevier,Case Studies in Chemical and Environmental Engineering,https://doi.org/10.1016/j.cscee.2024.100642
Elsevier,Electronic Journal of Biotechnology,https://doi.org/10.2225/vol6-issue3-fulltext-6
Elsevier,Giant,https://doi.org/10.1016/j.giant.2024.100270
Elsevier,Industrial Crops and Products,https://doi.org/10.1016/j.indcrop.2026.123143
Elsevier,Industrial Crops and Products,https://doi.org/10.1016/j.indcrop.2025.122308
Elsevier,Industrial Crops and Products,https://doi.org/10.1016/j.indcrop.2026.122975
Elsevier,Industrial Crops and Products,https://doi.org/10.1016/j.indcrop.2025.120587
Elsevier,Industrial Crops and Products,https://doi.org/10.1016/j.indcrop.2026.123612
Elsevier,International Journal of Biological Macromolecules,https://doi.org/10.1016/j.ijbiomac.2025.143257
Elsevier,International Journal of Biological Macromolecules,https://doi.org/10.1016/j.ijbiomac.2026.151216
Elsevier,Journal of Agriculture and Food Research,https://doi.org/10.1016/j.jafr.2026.103029
Elsevier,Journal of Agriculture and Food Research,https://doi.org/10.1016/j.jafr.2025.102496
Elsevier,Journal of Agriculture and Food Research,https://doi.org/10.1016/j.jafr.2025.102573
Elsevier,Journal of Bioresources and Bioproducts,https://doi.org/10.1016/j.jobab.2022.03.003
Elsevier,Journal of environmental chemical engineering,https://doi.org/10.1016/j.jece.2026.122491
Elsevier,Journal of environmental chemical engineering,https://doi.org/10.1016/j.jece.2024.112260
Elsevier,Journal of environmental chemical engineering,https://doi.org/10.1016/j.jece.2025.116716
Elsevier,Journal of Industrial and Engineering Chemistry,https://doi.org/10.1016/j.jiec.2025.10.020
Elsevier,Next Materials,https://doi.org/10.1016/j.nxmate.2025.101216
Elsevier,Next Sustainability,https://doi.org/10.1016/j.nxsust.2026.100331
Elsevier,Procedia Engineering,https://doi.org/10.1016/j.proeng.2016.06.573
Elsevier,Sustainable Chemistry for Climate Action,https://doi.org/10.1016/j.scca.2026.100224
Elsevier,Water Research,https://doi.org/10.1016/j.watres.2026.126006
Frontiers,Frontiers in Environmental Science,https://doi.org/10.3389/fenvs.2022.889940
MDPI,Agriculture,https://doi.org/10.3390/agriculture14081405
MDPI,Agriculture,https://doi.org/10.3390/agriculture15020142
MDPI,Agronomy,https://doi.org/10.3390/agronomy8090175
MDPI,Biomolecules,https://doi.org/10.3390/biom10060939
MDPI,Fibers,https://doi.org/10.3390/fib10090073
MDPI,Gels,https://doi.org/10.3390/gels12030235
MDPI,Gels,https://doi.org/10.3390/gels11120957
MDPI,Gels,https://doi.org/10.3390/gels10060368
MDPI,Gels,https://doi.org/10.3390/gels11120947
MDPI,Gels,https://doi.org/10.3390/gels9120988
MDPI,Gels,https://doi.org/10.3390/gels12020144
MDPI,Gels,https://doi.org/10.3390/gels10050322
MDPI,Gels,https://doi.org/10.3390/gels12030259
MDPI,Gels,https://doi.org/10.3390/gels11080611
MDPI,Gels,https://doi.org/10.3390/gels8090548
MDPI,Gels,https://doi.org/10.3390/gels12060558
MDPI,Gels,https://doi.org/10.3390/gels12020183
MDPI,Horticulturae,https://doi.org/10.3390/horticulturae10030273
MDPI,International Journal of Molecular Sciences,https://doi.org/10.3390/ijms24119208
MDPI,International Journal of Molecular Sciences,https://doi.org/10.3390/ijms24010104
MDPI,Marine Drugs,https://doi.org/10.3390/md22060280
MDPI,Materials,https://doi.org/10.3390/ma18030591
MDPI,Molecules,https://doi.org/10.3390/molecules28041594
MDPI,Molecules,https://doi.org/10.3390/molecules29112677
