count,journal,publisher_group,type,is_core,in_doaj,host,issn_l
52,International Journal of Biological Macromolecules,Elsevier,journal,True,False,Elsevier BV,0141-8130
24,Gels,MDPI,journal,True,True,Multidisciplinary Digital Publishing Institute,2310-2861
19,Industrial Crops and Products,Elsevier,journal,True,True,Elsevier BV,0926-6690
18,Scientific Reports,Springer Nature,journal,True,True,Nature Portfolio,2045-2322
17,Chemical Engineering Journal,Elsevier,journal,True,False,Elsevier BV,1385-8947
16,Journal of environmental chemical engineering,Elsevier,journal,True,False,Elsevier BV,2213-2929
15,Journal of Polymers and the Environment,Springer Nature,journal,True,False,Springer Science+Business Media,1566-2543
13,Journal of Applied Polymer Science,Wiley,journal,True,False,Wiley,0021-8995
12,Carbohydrate Polymers,Elsevier,journal,True,False,Elsevier BV,0144-8617
12,Journal of Cleaner Production,Elsevier,journal,True,False,Elsevier BV,0959-6526
12,Polymers,MDPI,journal,True,False,Multidisciplinary Digital Publishing Institute,2073-4360
11,Restoration Ecology,Wiley,journal,True,False,Wiley,1061-2971
10,ACS Agricultural Science & Technology,ACS,journal,True,False,American Chemical Society,2692-1952
10,Communications in Soil Science and Plant Analysis,Taylor & Francis,journal,True,False,Taylor & Francis,0010-3624
10,Polymer Bulletin,Springer Nature,journal,True,False,Springer Science+Business Media,0170-0839
9,HortScience,ASHS,journal,True,True,American Society for Horticultural Science,0018-5345
8,Molecules,MDPI,journal,True,True,Multidisciplinary Digital Publishing Institute,1420-3049
7,ACS Sustainable Chemistry & Engineering,ACS,journal,True,False,American Chemical Society,2168-0485
7,Journal of Environmental Management,Elsevier,journal,True,False,Elsevier BV,0301-4797
7,Plant and Soil,Springer Nature,journal,True,False,Springer Science+Business Media,0032-079X
6,ACS Omega,ACS,journal,True,True,American Chemical Society,2470-1343
6,Agriculture,MDPI,journal,True,True,Multidisciplinary Digital Publishing Institute,2077-0472
6,CLEAN - Soil Air Water,Wiley,journal,True,False,Wiley,1863-0650
6,Colloids and Surfaces A Physicochemical and Engineering Aspects,Elsevier,journal,True,False,Elsevier BV,0927-7757
6,International Journal of Molecular Sciences,MDPI,journal,True,False,Multidisciplinary Digital Publishing Institute,1422-0067
6,Scientia Horticulturae,Elsevier,journal,True,True,Elsevier BV,0304-4238
6,The Science of The Total Environment,Elsevier,journal,True,False,Elsevier BV,0048-9697
5,ACS Applied Polymer Materials,ACS,journal,True,False,American Chemical Society,2637-6105
5,Cellulose,Springer Nature,journal,True,False,Springer Science+Business Media,0969-0239
5,Ecological Engineering,Elsevier,journal,True,False,Elsevier BV,0925-8574
5,European Polymer Journal,Elsevier,journal,True,False,Elsevier BV,0014-3057
5,Journal of Agricultural and Food Chemistry,ACS,journal,True,False,American Chemical Society,0021-8561
5,Journal of Hazardous Materials,Elsevier,journal,True,False,Elsevier BV,0304-3894
5,Journal of Polymer Research,Springer Nature,journal,True,False,Springer Science+Business Media,1022-9760
5,Langmuir,ACS,journal,True,False,American Chemical Society,0743-7463
5,Materials,MDPI,journal,True,False,Multidisciplinary Digital Publishing Institute,1996-1944
5,Polymers for Advanced Technologies,Wiley,journal,True,False,Wiley,1042-7147
5,Sustainability,MDPI,journal,True,False,Multidisciplinary Digital Publishing Institute,2071-1050
4,ACS Materials Letters,ACS,journal,True,False,American Chemical Society,2639-4979
4,Agronomy,MDPI,journal,True,True,Multidisciplinary Digital Publishing Institute,2073-4395
4,ChemistrySelect,Wiley,journal,True,False,Wiley,2365-6549
4,Focus on Catalysts,Elsevier,journal,True,False,Elsevier BV,1351-4180
4,Forests,MDPI,journal,True,False,Multidisciplinary Digital Publishing Institute,1999-4907
4,Plants,MDPI,journal,True,True,Multidisciplinary Digital Publishing Institute,2223-7747
4,Polymer,Elsevier,journal,True,False,Elsevier BV,0032-3861
4,Reactive and Functional Polymers,Elsevier,journal,True,False,Elsevier BV,1381-5148
3,Acta Horticulturae,ISHS,journal,True,False,International Society for Horticultural Science,0567-7572
3,Advanced Composites and Hybrid Materials,Springer Nature,journal,True,False,Springer Science+Business Media,2522-0128
3,Advanced Functional Materials,Wiley,journal,True,False,Wiley,1616-301X
3,Agricultural Water Management,Elsevier,journal,True,True,Elsevier BV,0378-3774
3,Analytica Chimica Acta,Elsevier,journal,True,False,Elsevier BV,0003-2670
3,Chemical Papers,Springer Nature,journal,True,False,Springer Science+Business Media,0366-6352
3,Desalination,Elsevier,journal,True,False,Elsevier BV,0011-9164
3,Ecotoxicology and Environmental Safety,Elsevier,journal,True,True,Elsevier BV,0147-6513
3,Environmental and Experimental Botany,Elsevier,journal,True,True,Elsevier BV,0098-8472
3,Environmental Technology & Innovation,Elsevier,journal,True,True,Elsevier BV,2352-1864
3,Frontiers in Plant Science,Frontiers,journal,True,True,Frontiers Media,1664-462X
3,HortTechnology,ASHS,journal,True,True,American Society for Horticultural Science,1063-0198
3,Journal of Agriculture and Food Research,Elsevier,journal,True,True,Elsevier BV,2666-1543
3,Journal of Composites Science,MDPI,journal,True,False,Multidisciplinary Digital Publishing Institute,2504-477X
3,Journal of Materials Science,Springer Nature,journal,True,False,Springer Science+Business Media,0022-2461
3,Journal of soil science and plant nutrition,Springer Nature,journal,True,False,Springer Science+Business Media,0718-9508
3,Materials Today Communications,Elsevier,journal,True,False,Elsevier BV,2352-4928
3,Pedosphere,Elsevier,journal,True,False,Elsevier BV,1002-0160
3,Radiation Physics and Chemistry,Elsevier,journal,True,False,Elsevier BV,0969-806X
3,Rangeland Ecology & Management,Elsevier,journal,True,False,Elsevier BV,1550-7424
3,RSC Advances,RSC,journal,True,True,Royal Society of Chemistry,2046-2069
3,Separation and Purification Technology,Elsevier,journal,True,False,Elsevier BV,1383-5866
3,Starch - Stärke,Wiley,journal,True,False,Wiley,0038-9056
2,ACS Applied Materials & Interfaces,ACS,journal,True,False,American Chemical Society,1944-8244
2,Agronomy Journal,Wiley,journal,True,False,Wiley,0002-1962
2,Applied Sciences,MDPI,journal,True,True,Multidisciplinary Digital Publishing Institute,2076-3417
2,Biotechnology Reports,Elsevier,journal,True,True,Elsevier BV,2215-017X
2,Carbohydrate Polymer Technologies and Applications,Elsevier,journal,True,True,Elsevier BV,2666-8939
2,Case Studies in Chemical and Environmental Engineering,Elsevier,journal,True,True,Elsevier BV,2666-0164
2,Desalination and Water Treatment,Taylor & Francis,journal,True,True,Taylor & Francis,1944-3986
2,Environment Development and Sustainability,Springer Nature,journal,True,False,Springer Science+Business Media,1387-585X
2,Environmental Research,Elsevier,journal,True,False,Elsevier BV,0013-9351
2,Food Hydrocolloids,Elsevier,journal,True,False,Elsevier BV,0268-005X
2,Forest Ecology and Management,Elsevier,journal,True,False,Elsevier BV,0378-1127
2,Frontiers in Microbiology,Frontiers,journal,True,True,Frontiers Media,1664-302X
2,Global Challenges,Wiley,journal,True,True,Wiley,2056-6646
2,Horticulturae,MDPI,journal,True,True,Multidisciplinary Digital Publishing Institute,2311-7524
2,Irrigation and Drainage,Wiley,journal,True,False,Wiley,1531-0353
2,Journal of Agronomy and Crop Science,Wiley,journal,True,False,Wiley,0931-2250
2,Journal of Arid Environments,Elsevier,journal,True,False,Elsevier BV,0140-1963
2,Journal of Colloid and Interface Science,Elsevier,journal,True,False,Elsevier BV,0021-9797
2,Journal of Forestry Research,Springer Nature,journal,True,False,Springer Science+Business Media,1007-662X
2,Journal of Plant Nutrition,Taylor & Francis,journal,True,False,Taylor & Francis,0190-4167
2,Journal of Sustainable Agriculture and Environment,Wiley,journal,True,True,Wiley,2767-035X
2,Macromolecular Symposia,Wiley,journal,True,False,Wiley,1022-1360
2,Materials Chemistry and Physics,Elsevier,journal,True,False,Elsevier BV,0254-0584
2,Nature Communications,Springer Nature,journal,True,True,Nature Portfolio,2041-1723
2,New Forests,Springer Nature,journal,True,False,Springer Science+Business Media,0169-4286
2,Next Materials,Elsevier,journal,True,True,Elsevier BV,2949-8228
2,Polymer International,Wiley,journal,True,False,Wiley,0959-8103
2,Process Safety and Environmental Protection,Elsevier,journal,True,False,Elsevier BV,0263-8762
2,Progress in Organic Coatings,Elsevier,journal,True,False,Elsevier BV,0300-9440
2,Rhizosphere,Elsevier,journal,True,False,Elsevier BV,2452-2198
2,Sensors and Actuators B Chemical,Elsevier,journal,True,False,Elsevier BV,0925-4005
2,Small,Wiley,journal,True,False,Wiley,1613-6810
2,Soft Matter,RSC,journal,True,False,Royal Society of Chemistry,1744-683X
2,Soil Systems,MDPI,journal,True,True,Multidisciplinary Digital Publishing Institute,2571-8789
2,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,Elsevier,journal,True,False,Elsevier BV,1386-1425
2,Water,MDPI,journal,True,False,Multidisciplinary Digital Publishing Institute,2073-4441
1,ACS Applied Bio Materials,ACS,journal,True,False,American Chemical Society,2576-6422
1,ACS ES&T Engineering,ACS,journal,True,False,American Chemical Society,2690-0645
1,ACS ES&T Water,ACS,journal,True,False,American Chemical Society,2690-0637
1,ACS Nano,ACS,journal,True,False,American Chemical Society,1936-0851
1,Acta Agriculturae Scandinavica Section B - Soil & Plant Science,Taylor & Francis,journal,True,True,Taylor & Francis,0906-4710
1,Acta Physiologiae Plantarum,Springer Nature,journal,True,False,Springer Science+Business Media,0137-5881
1,Advanced Engineering Materials,Wiley,journal,True,False,Wiley,1438-1656
1,Advanced Sensor Research,Wiley,journal,True,True,Wiley,2751-1219
1,Advances in Materials Science and Engineering,Wiley,journal,True,True,Hindawi Publishing Corporation,1687-8434
1,Advances in Polymer Technology,Wiley,journal,True,True,Wiley,0730-6679
1,Advances in Traditional Medicine,Springer Nature,journal,True,False,Springer Nature,2662-4052
1,Agriculture and Agricultural Science Procedia,Elsevier,journal,True,False,Elsevier BV,2210-7843
1,AgriEngineering,MDPI,journal,True,True,Multidisciplinary Digital Publishing Institute,2624-7402
1,Algal Research,Elsevier,journal,True,False,Elsevier BV,2211-9264
1,Analytical Chemistry,ACS,journal,True,False,American Chemical Society,0003-2700
1,Annales de Pathologie,Elsevier,journal,True,False,Elsevier BV,0242-6498
1,Annals of Forest Science,Springer Nature,journal,True,True,Springer Science+Business Media,1286-4560
1,Applied Materials Today,Elsevier,journal,True,False,Elsevier BV,2352-9407
1,Applied Microbiology and Biotechnology,Springer Nature,journal,True,True,Springer Science+Business Media,0175-7598
1,Applied Soil Ecology,Elsevier,journal,True,False,Elsevier BV,0929-1393
1,Archives of Agronomy and Soil Science,Taylor & Francis,journal,True,True,Taylor & Francis,0365-0340
