role,material,key,selected,abs_count,corpus_n,prevalence_pct
"Context - Incumbents (agronomy status quo, not selected)",cellulose (generic),cellulose_generic,False,52,180,28.889
"Context - Incumbents (agronomy status quo, not selected)",superabsorbent polymer (SAP),superabsorbent,False,34,180,18.889
"Context - Incumbents (agronomy status quo, not selected)",starch,starch,False,18,180,10.0
"Context - Incumbents (agronomy status quo, not selected)",polyacrylamide,polyacrylamide,False,10,180,5.556
Role 1 - Specific calcium-ion junction zones (egg-box / ion-bridged helix),alginate,alginate,True,59,180,32.778
Role 1 - Specific calcium-ion junction zones (egg-box / ion-bridged helix),pectin,pectin,False,10,180,5.556
Role 1 - Specific calcium-ion junction zones (egg-box / ion-bridged helix),gellan gum,gellan_gum,True,8,180,4.444
Role 2 - Non-specific calcium-ion ionic crosslinking,polyacrylic acid / polyacrylate,polyacrylic_acid,False,49,180,27.222
Role 2 - Non-specific calcium-ion ionic crosslinking,carboxymethyl cellulose,cmc,True,27,180,15.0
Role 2 - Non-specific calcium-ion ionic crosslinking,carboxymethyl chitosan,carboxymethyl_chitosan,False,3,180,1.667
Role 2 - Non-specific calcium-ion ionic crosslinking,carboxymethyl starch,carboxymethyl_starch,False,1,180,0.556
Role 2 - Non-specific calcium-ion ionic crosslinking,hyaluronic acid,hyaluronic_acid,False,1,180,0.556
Role 2 - Non-specific calcium-ion ionic crosslinking,gum tragacanth / karaya,gum_tragacanth,False,1,180,0.556
Role 2 - Non-specific calcium-ion ionic crosslinking,lignosulfonate,lignosulfonate,False,1,180,0.556
Role 3 - Hydroxyl hydrogen-bonding glue,polyvinyl alcohol,pva,True,32,180,17.778
Role 3 - Hydroxyl hydrogen-bonding glue,cellulose nanofiber,cnf,False,11,180,6.111
Role 3 - Hydroxyl hydrogen-bonding glue,polyethylene glycol / oxide,peg,False,7,180,3.889
Role 3 - Hydroxyl hydrogen-bonding glue,guar gum,guar_gum,False,5,180,2.778
Role 3 - Hydroxyl hydrogen-bonding glue,cellulose nanocrystal,cnc,False,4,180,2.222
Role 3 - Hydroxyl hydrogen-bonding glue,hydroxyethyl cellulose,hec,False,4,180,2.222
Role 3 - Hydroxyl hydrogen-bonding glue,polyvinylpyrrolidone,pvp,False,3,180,1.667
Role 3 - Hydroxyl hydrogen-bonding glue,silk sericin,sericin,False,3,180,1.667
Role 3 - Hydroxyl hydrogen-bonding glue,gum arabic,gum_arabic,False,2,180,1.111
Role 3 - Hydroxyl hydrogen-bonding glue,cashew gum,cashew_gum,False,2,180,1.111
Role 3 - Hydroxyl hydrogen-bonding glue,bacterial cellulose,bacterial_cellulose,False,1,180,0.556
Role 3 - Hydroxyl hydrogen-bonding glue,pullulan,pullulan,False,1,180,0.556
Role 3 - Hydroxyl hydrogen-bonding glue,hydroxypropyl cellulose,hpc,False,0,180,0.0
Role 3 - Hydroxyl hydrogen-bonding glue,locust bean gum,locust_bean_gum,False,0,180,0.0
Role 4 - Non-calcium gelation (thermal / cationic / covalent),methylcellulose,methylcellulose,False,27,180,15.0
Role 4 - Non-calcium gelation (thermal / cationic / covalent),chitosan,chitosan,False,17,180,9.444
Role 4 - Non-calcium gelation (thermal / cationic / covalent),gelatin,gelatin,False,10,180,5.556
Role 4 - Non-calcium gelation (thermal / cationic / covalent),poly(N-isopropylacrylamide),pnipam,False,4,180,2.222
Role 4 - Non-calcium gelation (thermal / cationic / covalent),agar,agar,False,3,180,1.667
Role 4 - Non-calcium gelation (thermal / cationic / covalent),carrageenan,carrageenan,False,3,180,1.667
Role 4 - Non-calcium gelation (thermal / cationic / covalent),agarose,agarose,False,1,180,0.556
Role 4 - Non-calcium gelation (thermal / cationic / covalent),xanthan gum,xanthan_gum,False,1,180,0.556
Role 4 - Non-calcium gelation (thermal / cationic / covalent),collagen,collagen,False,0,180,0.0
Role 4 - Non-calcium gelation (thermal / cationic / covalent),curdlan,curdlan,False,0,180,0.0
Role 4 - Non-calcium gelation (thermal / cationic / covalent),konjac glucomannan,konjac,False,0,180,0.0
Role 4 - Non-calcium gelation (thermal / cationic / covalent),hydroxypropyl methylcellulose,hpmc,False,0,180,0.0
Role 4 - Non-calcium gelation (thermal / cationic / covalent),silk fibroin,silk_fibroin,False,0,180,0.0
Role 4 - Non-calcium gelation (thermal / cationic / covalent),fibrin,fibrin,False,0,180,0.0
